Tarih,PM10,SO2,CO,NO2,NOX,NO,O3
04/10/2020 15:00:56,48.44483,19.48384,2129.81,37.0659,56.89347,12.96942,
04/10/2020 14:00:56,42.07034,17.48854,2256.91,52.8412,100.24871,31.79206,
04/10/2020 13:00:56,34.73517,17.92228,2307.48,,118.03881,42.20014,
04/10/2020 12:00:56,26.83483,15.81211,2270.85,49.8093,119.78805,45.46101,
04/10/2020 11:00:56,25.74828,14.14233,2090.82,28.97911,51.31107,14.70151,
04/10/2020 10:00:56,29.24569,14.91224,2118.45,25.50414,49.93347,16.01959,
04/10/2020 09:00:56,23.27914,13.65845,2302.56,32.23502,71.1844,25.28293,
04/10/2020 08:00:56,16.86069,13.0664,2028.41,15.82974,20.33157,2.84295,
04/10/2020 07:00:56,14.0481,13.09256,1947.23,4.24853,4.79785,0.42153,
04/10/2020 06:00:56,23.70086,12.81715,1943.4,3.28378,3.66945,0.2939,
04/10/2020 05:00:56,28.46259,12.86372,2105.49,10.3167,11.71737,0.92652,
04/10/2020 04:00:56,28.17915,13.30544,2367.61,25.10586,32.44345,4.63448,
04/10/2020 03:00:56,25.53155,13.63142,2366.79,29.79836,47.35514,11.6025,
04/10/2020 02:00:56,35.00633,12.83134,2215.64,23.65208,28.38332,3.09111,
04/10/2020 01:00:56,32.17121,12.9329,2338.37,27.07846,32.78602,3.57369,
04/10/2020 00:00:56,25.55448,12.90807,2189.95,22.0042,25.20303,2.05173,
04/09/2020 23:00:56,22.99678,13.72145,2026.49,,20.63877,,
04/09/2020 22:00:56,18.78644,13.2948,1974.83,27.87855,45.01868,11.29055,
04/09/2020 21:00:56,16.50119,14.14233,1953.51,33.14803,52.59625,13.91929,
04/09/2020 20:00:56,19.29712,13.74495,1928.09,22.2117,33.37619,7.78772,
04/09/2020 19:00:56,14.46034,14.12947,1936.57,19.74156,32.178,8.27488,
04/09/2020 18:00:56,11.19,11.91108,1887.09,22.96535,39.913,11.12075,
04/09/2020 17:00:56,,9.1871,1900.76,7.77795,11.13294,1.95426,
04/09/2020 16:00:56,,11.68578,1911.97,11.38851,20.98994,6.53927,
04/09/2020 15:00:56,,12.02462,1928.37,10.5313,17.84151,4.6962,
04/09/2020 14:00:56,,10.40229,1908.69,10.73206,17.49576,4.51705,
04/09/2020 13:00:56,,11.29461,1903.77,10.74225,17.28894,4.14253,
04/09/2020 12:00:56,,10.54998,1906.5,4.96568,11.39679,3.72798,
04/09/2020 11:00:56,,10.19873,1894.47,3.59747,3.93249,0.20063,
04/09/2020 10:00:56,,10.40673,1892.2,8.02275,9.64986,0.99894,
04/09/2020 09:00:56,,11.25544,2012.92,11.06952,12.30245,0.81055,
04/09/2020 08:00:56,,9.68488,1938.48,,6.03746,,
04/09/2020 07:00:56,,10.00713,1896.39,,2.41995,,
04/09/2020 06:00:56,,9.93839,1892.29,,3.74911,,
04/09/2020 05:00:56,,11.17088,1891.19,,2.20294,,
04/09/2020 04:00:56,,10.11136,1901.85,2.86832,3.0694,0.25079,
04/09/2020 03:00:56,,9.93263,1889.01,,3.20037,,
04/09/2020 02:00:56,,10.11801,1892.01,,2.60765,,
04/09/2020 01:00:56,,9.85634,1907.32,,2.94352,,
04/09/2020 00:00:56,,10.13486,1910.33,,4.1006,,
04/08/2020 23:00:56,,9.59601,1913.88,,4.44667,,
04/08/2020 22:00:56,,10.52913,1905.68,4.95941,5.09229,0.20423,
